"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"301555.SZ","301555","惠柏新材",2023-10-20,2023-10-31,2307,1119,22.88,33.63,0.65,5.278,0.03
"001378.SZ","001378","德冠新材",2023-10-19,2023-10-30,3333,2489,31.68,26.12,1.2,10.56,0.04
"603273.SH","732273","天元智能",2023-10-12,2023-10-23,5358,4286,9.5,29.94,2.1,5.09,0.05
"301489.SZ","301489","思泉新材",2023-10-12,2023-10-24,1442,699,41.66,46.6,0.4,6.008,0.02
"873693.BJ","889693","阿为特",2023-10-11,2023-10-27,1150,800,6.36,18.35,47.5,0.731,0.15
"873726.BJ","889779","卓兆点胶",2023-10-09,2023-10-19,1232,986,26,25,58.52,3.203,3.46
"603361.SH","732361","浙江国祥",2023-10-09,-0001-12-31,3502,1261,68.07,51.29,1.25,23.84,0
"603193.SH","732193","润本股份",2023-09-27,2023-10-17,6069,4248,17.38,45.56,1.8,10.548,0.05
"301517.SZ","301517","陕西华达",2023-09-27,2023-10-17,2701,1095,26.87,48.03,0.6,7.257,0.03
"832786.BJ","889786","骑士乳业",2023-09-26,2023-10-13,5227,3659,5,15.3,222.15,2.614,3.52
"301559.SZ","301559","中集环科",2023-09-22,2023-10-11,9000,3510,24.22,18.21,1.7,21.798,0.04
"688657.SH","787657","浩辰软件",2023-09-21,2023-10-10,1122,387,103.4,77.77,0.25,11.6,0.06
"832978.BJ","889966","开特股份",2023-09-20,2023-09-28,1936,1440,7.37,19.09,85.5,1.427,0.32
"301558.SZ","301558","三态股份",2023-09-19,2023-09-28,11846,4620,7.33,45.19,2.25,8.683,0.04
"688719.SH","787719","爱科赛博",2023-09-18,2023-09-28,2062,720,69.98,88.78,0.5,14.43,0.05
"301520.SZ","301520","万邦医药",2023-09-14,2023-09-25,1667,808,67.88,52.6,0.45,11.313,0.03
"603276.SH","732276","恒兴新材",2023-09-14,2023-09-25,4000,2997,25.73,44.35,1.4,10.292,0.04
"873665.BJ","889099","科强股份",2023-09-13,2023-09-26,3000,2402,6.28,16.01,142.62,1.884,0.22
"301500.SZ","301500","飞南资源",2023-09-11,2023-09-21,4001,1560,23.97,39.51,0.75,9.59,0.03
"688716.SH","787716","中研股份",2023-09-11,2023-09-20,3042,1158,29.66,67.37,0.85,9.023,0.04
"301548.SZ","301548","崇德科技",2023-09-07,2023-09-20,1500,728,66.8,51.06,0.4,10.02,0.03
"832469.BJ","889469","富恒新材",2023-09-06,2023-09-18,2622,1824,5.68,14.44,108.3,1.489,0.22
"836419.BJ","889369","万德股份",2023-09-05,2023-09-15,2000,1600,8.93,15.99,95,1.786,0.89
"688702.SH","787702","盛科通信",2023-09-04,2023-09-14,5000,1200,42.66,0,0.8,21.33,0.04
"301550.SZ","301550","斯菱股份",2023-09-04,2023-09-15,2750,1334,37.56,33.16,0.75,10.329,0.02
"831627.BJ","889238","力王股份",2023-08-30,2023-09-07,2645,1840,6,16.35,109.25,1.587,0.31
"603075.SH","732075","热威股份",2023-08-30,2023-09-11,4001,2801,23.1,39.05,1.2,9.242,0.04
"301529.SZ","301529","福赛科技",2023-08-29,2023-09-11,2121,946,36.6,38.33,0.5,7.763,0.02
"688549.SH","787549","中巨芯",2023-08-28,2023-09-08,36932,7988,5.18,0,5.15,19.131,0.08
"301251.SZ","301251","威尔高",2023-08-28,2023-09-06,3366,1632,28.88,46.27,0.95,9.72,0.02
"603270.SH","732270","金帝股份",2023-08-23,2023-09-01,5478,3975,21.77,41.68,1.95,11.925,0.05
"301507.SZ","301507","民生健康",2023-08-22,2023-09-05,8914,4323,10,50.74,2.5,8.914,0.04
"301525.SZ","301525","儒竞科技",2023-08-21,2023-08-30,2359,1144,99.57,43.53,0.65,23.489,0.03
"688591.SH","787591","泰凌微",2023-08-16,2023-08-25,6000,2085,24.98,172.25,1.5,14.988,0.05
"301528.SZ","301528","多浦乐",2023-08-15,2023-08-28,1550,671,71.8,56.76,0.35,11.129,0.03
"870976.BJ","889976","视声智能",2023-08-14,2023-09-01,1270,1016,10.3,17.9,60.32,1.308,0.37
"603275.SH","732275","众辰科技",2023-08-14,2023-08-23,3719,2975,49.97,53.64,1.45,18.585,0.04
"301421.SZ","301421","波长光电",2023-08-14,2023-08-23,2893,1403,29.38,60.67,0.8,8.5,0.03
"836504.BJ","889118","博迅生物",2023-08-08,2023-08-17,833,600,9.75,16.41,35.62,0.812,0.28
"688693.SH","787693","锴威特",2023-08-08,2023-08-18,1842,700,40.83,60.69,0.5,7.521,0.04
"301469.SZ","301469","恒达新材",2023-08-08,2023-08-22,2237,1010,36.58,38.33,0.55,8.183,0.03
"301418.SZ","301418","协昌科技",2023-08-08,2023-08-21,1833,889,51.88,37.88,0.5,9.511,0.02
"872953.BJ","889997","国子软件",2023-08-07,2023-08-23,2547,1772,10.5,19.14,105.21,2.675,0.37
"301498.SZ","301498","乖宝宠物",2023-08-07,2023-08-16,4000,1560,39.99,61.28,0.75,15.998,0.03
"688573.SH","787573","信宇人",2023-08-07,2023-08-17,2444,831,23.68,46.18,0.6,5.787,0.04
"688548.SH","787548","广钢气体",2023-08-04,2023-08-15,32985,7240,9.87,58.63,4.6,32.556,0.07
"301511.SZ","301511","德福科技",2023-08-04,2023-08-17,6753,2321,28,28.17,1.05,18.908,0.03
"301533.SZ","301533","威马农机",2023-08-03,2023-08-18,2458,1047,29.5,44.05,0.55,7.25,0.03
"688592.SH","787592","司南导航",2023-08-03,2023-08-16,1554,532,50.5,143.58,0.35,7.848,0.05
"837748.BJ","889866","路桥信息",2023-08-02,2023-08-16,1564,1088,7,18.92,64.6,1.095,0.18
"301510.SZ","301510","固高科技",2023-08-02,2023-08-15,4001,1414,12,110.8,0.65,4.801,0.03
"837174.BJ","889174","宏裕包材",2023-08-01,2023-08-18,2033,1627,8,15.86,96.58,1.627,0.78
"301372.SZ","301372","科净源",2023-08-01,2023-08-11,1714,831,45,37.1,0.45,7.714,0.03
"834058.BJ","889000","华洋赛车",2023-07-31,2023-08-10,1400,1120,16.5,16.98,66.5,2.31,4.55
"300904.SZ","300904","威力传动",2023-07-31,2023-08-09,1810,878,35.41,49.06,0.5,6.408,0.02
"688671.SH","787671","碧兴物联",2023-07-31,2023-08-09,1963,678,36.12,52.85,0.5,7.09,0.04
"301348.SZ","301348","蓝箭电子",2023-07-28,2023-08-10,5000,2425,18.08,55.29,1.4,9.04,0.03
"603296.SH","732296","华勤技术",2023-07-28,2023-08-08,7243,4195,80.8,31.32,1.7,58.52,0.05
"301487.SZ","301487","盟固利",2023-07-28,2023-08-09,5800,2262,5.32,29.02,1.1,3.086,0.03
"688347.SH","787347","华虹公司",2023-07-25,2023-08-07,40775,6116,52,34.71,4.05,212.03,0.07
"301362.SZ","301362","民爆光电",2023-07-25,2023-08-04,2617,1175,51.05,25.16,0.65,13.36,0.03
"301518.SZ","301518","长华化学",2023-07-24,2023-08-03,3505,1700,25.75,44.47,0.95,9.025,0.03
"301509.SZ","301509","金凯生科",2023-07-24,2023-08-03,2151,1043,56.56,31.73,0.6,12.165,0.03
"870726.BJ","889726","鸿智科技",2023-07-21,2023-08-08,1043,835,13.28,14.91,49.56,1.386,0.5
"301371.SZ","301371","敷尔佳",2023-07-20,2023-08-01,4008,1563,55.68,29.07,0.75,22.317,0.03
